feature,gainratio
avf_D6_MDS,0.10556059626275917
iii_D5_MDS,0.10365773529370353
iii_D6_MDS,0.1029467938942904
avf_D5_MDS,0.10062573426988873
avf_D6_LEE,0.09672203498696119
iii_D6_LEE,0.09626438650234734
ii_D6_MDS,0.09576417754331049
ii_D5_MDS,0.09533643582210746
iii_D5_LEE,0.09098113482723574
ii_D6_LEE,0.08972786940366366
iii_D6_MDS_z2,0.0861230701815342
ii_D5_SEN,0.08466721695672592
avf_D5_SEN,0.08330598957099594
iii_D6_LEE_z2,0.0817213010317115
iii_D5_MDS_z2,0.08150963802622818
avf_D5_LEE,0.07132355674361367
iii_A6_MDS,0.06723690306547654
iii_D5_LEE_z2,0.06679869646836492
ii_D5_LEE,0.05946963161554036
iii_D4_MDS,0.057848750082475316
avf_D6_MDS_z2,0.056517576361939506
iii_D5_SEN,0.05219871842189362
iii_A6_MDS_z2,0.050067779313835395
iii_D4_LEE,0.04902451480366016
ii_D2_MDS_z2,0.048443562581013594
avf_D6_SEN,0.047808557314937314
ii_D3_MDS_z2,0.046968484325668525
iii_A6_LEE_z2,0.04537493540861501
ii_D6_SEN,0.04405016610937919
avf_D6_LEE_z2,0.04330119078438043
ii_D2_LEE_z2,0.04319498012564519
ii_D1_MDS_z2,0.04291915619673809
iii_A6_LEE,0.04130269587286304
ii_D1_LEE_z2,0.04120536966411458
avf_D5_MDS_z2,0.041069010945642456
iii_D4_MDS_z2,0.04049865597484726
iii_D4_LEE_z2,0.040350525429956055
ii_D1_MDS,0.04022689500344819
avf_D6_SEN_z2,0.039648492808821566
ii_D6_SEN_z2,0.03728957969447611
ii_D1_LEE,0.03718878178121706
avf_D4_SEN,0.03624691176445014
ii_D2_LEE,0.036228294637560075
iii_D5_NSE,0.03551676242416905
iii_D3_MDS,0.035403543655013
iii_D3_MDS_z2,0.034482527413291546
iii_D1_NSE_z2,0.034006714732791425
iii_D3_LEE,0.03395636271375189
iii_D3_LEE_z2,0.033306898373390355
iii_D5_NSE_z2,0.03260969185961889
avf_D4_MDS,0.032433920192827884
iii_A6_NSE_z2,0.03218926665403786
ii_D3_LEE_z2,0.032092033895832435
iii_D1_MDS,0.031573662249107
iii_D1_LEE_z2,0.03155339705717706
iii_D2_MDS,0.031201594675182298
iii_D3_NSE,0.03078011965378833
iii_D4_NSE_z2,0.030407047147878147
ii_D2_MDS,0.030326477549333607
iii_D2_LEE_z2,0.030007817328583545
iii_D2_MDS_z2,0.029787452517716587
iii_D1_MDS_z2,0.02962709788228929
ii_D2_NSE,0.02934857254499154
iii_D1_LEE,0.028771301281437588
ii_D6_MDS_z2,0.02867130923398411
avf_D5_NSE_z2,0.028253093346727237
iii_D2_LEE,0.028132783262074516
iii_D3_NSE_z2,0.02744111185592359
ii_D4_SEN,0.026868001159369093
iii_D6_SEN_z2,0.026529923931154893
avf_D4_NSE,0.02492098533272552
iii_D4_NSE,0.024638553281934688
iii_D6_SEN,0.024608403203616562
ii_D5_NSE,0.02362127294947709
avf_D1_LEE_z2,0.023309422023071555
ii_A6_NSE,0.023281360240773798
ii_A6_NSE_z2,0.023261178360380417
ii_A6_SEN,0.02289664939113834
ii_D4_NSE,0.022095556116587558
avf_D2_NSE_z2,0.021869028245967384
avf_D5_LEE_z2,0.021349865184574757
ii_D5_NSE_z2,0.0213321959847516
avf_A6_NSE_z2,0.021208278648673008
iii_D1_NSE,0.021045296388749888
avf_D3_NSE,0.020550643768279562
avf_A6_NSE,0.020481168933864362
ii_D1_NSE,0.019577903305829515
avf_D5_NSE,0.019533005786792117
ii_D4_NSE_z2,0.019485151097663505
iii_D4_SEN,0.01905682697955516
iii_D6_NSE_z2,0.018835913523954428
avf_D4_LEE,0.018590878016313803
avf_D1_MDS_z2,0.01847244049179254
avf_D1_NSE_z2,0.017698908491547326
avf_A6_MDS,0.017571972465296258
avf_D5_SEN_z2,0.017486249142240368
ii_D3_NSE,0.01746723588195098
avf_D2_LEE_z2,0.017167656447642093
avf_A6_SEN,0.017018304310224084
ii_D5_SEN_z2,0.017017903372901582
ii_D6_NSE,0.017017601165080158
ii_D6_LEE_z2,0.016903497893987915
iii_A6_NSE,0.016414763311086118
avf_D4_NSE_z2,0.016128546997720303
avf_D3_SEN,0.015340015897860503
avf_D2_MDS_z2,0.015251386399117823
avf_D1_NSE,0.014828588821202136
ii_D6_NSE_z2,0.014783688897917568
ii_D2_NSE_z2,0.014577171505952849
iii_D3_SEN_z2,0.0140727335334853
avf_D2_NSE,0.014028780709191994
iii_D2_SEN_z2,0.01359443594612122
ii_D4_MDS,0.013063922526986035
avf_D3_NSE_z2,0.012804502354581906
iii_D4_SEN_z2,0.01201023497631304
ii_D5_MDS_z2,0.011810013726835098
ii_D3_LEE,0.011741587808651616
ii_D3_MDS,0.011306662587130496
ii_D1_NSE_z2,0.011060563462610787
iii_D2_NSE_z2,0.010963877985722003
avf_D2_LEE,0.010849181438092303
avf_D4_SEN_z2,0.010806446665869694
iii_A6_SEN_z2,0.010448634968481665
ii_D3_SEN,0.009980653669047065
ii_D4_MDS_z2,0.00967007863840526
iii_D5_SEN_z2,0.009553530332350726
ii_D3_NSE_z2,0.00919882471664495
avf_A6_MDS_z2,0.009105281358365464
iii_D3_SEN,0.00873353634313154
iii_D2_NSE,0.008215032526714272
avf_D3_SEN_z2,0.008155448047854093
ii_A6_LEE_z2,0.007426667231752278
avf_A6_LEE_z2,0.007236065934546649
ii_D4_LEE_z2,0.0072056362378380995
avf_A6_SEN_z2,0.007199149071780653
avf_A6_LEE,0.0071137677831834755
avf_D2_SEN_z2,0.0069836833042966505
avf_D6_NSE,0.006525732607767182
ii_A6_LEE,0.006524768616051758
avf_D3_MDS_z2,0.0061252484068925386
ii_A6_SEN_z2,0.006104193106086571
iii_D1_SEN_z2,0.005172766137865133
avf_D6_NSE_z2,0.0049080163511248396
avf_D4_MDS_z2,0.004755187204876544
iii_D6_NSE,0.00475141433570775
ii_D1_SEN_z2,0.0044514999762654914
avf_D4_LEE_z2,0.004404652350396316
avf_D3_MDS,0.004307139770562346
avf_D1_SEN_z2,0.004291675841722306
iii_A6_SEN,0.004258360290249859
ii_D4_SEN_z2,0.003986532343295344
ii_D3_SEN_z2,0.0037279044143266682
avf_D3_LEE_z2,0.0036946179285612156
ii_D4_LEE,0.0032299052897155297
ii_D5_LEE_z2,0.0027467803339171113
iii_D2_SEN,0.0027037438872559443
avf_D3_LEE,0.0025490404356846392
ii_A6_MDS,0.0023501249011181956
ii_D1_SEN,0.002283296223392899
ii_D2_SEN_z2,0.002224632988729798
avf_D2_SEN,0.002158415923771455
ii_A6_MDS_z2,0.002065691107097223
iii_D1_SEN,0.001974149449338418
avf_D2_MDS,0.00197145742329162
avf_D1_MDS,0.0019540196412065488
avf_D1_SEN,0.0016085835749174405
avf_D1_LEE,0.001347779736515676
ii_D2_SEN,0.0010544926519885415
